"","X","district","min_lat","min_long","max_lat","max_long","income","lat","long"
"1","0","Please select a district","0","0","0","0","0","0","0"
"2","1","Agincourt North","43.7985004","-79.2890905","43.8171601","-79.2530501","30414","43.80783025","-79.2710703"
"3","2","Agincourt South-Malvern West","43.7774202","-79.2911397","43.8028015","-79.2388993","31825","43.79011085","-79.2650195"
"4","3","Alderwood","43.5936296","-79.5570799","43.6123335","-79.5297941","47709","43.60298155","-79.543437"
"5","4","Annex","43.6643223","-79.4204611","43.6805741","-79.387865","112766","43.6724482","-79.40416305"
"6","5","Banbury-Don Mills","43.7202155","-79.3773877","43.7515946","-79.326811","67757","43.73590505","-79.35209935"
"7","6","Bathurst Manor","43.7510613","-79.4634888","43.766639","-79.4399161","45936","43.75885015","-79.45170245"
"8","7","Bay Street Corridor","43.6453636","-79.3903146","43.6694507","-79.3781453","56526","43.658593","-79.384940"
"9","8","Bayview Village","43.7649795","-79.3908991","43.7893739","-79.3667394","52035","43.7771767","-79.37881925"
"10","9","Bayview Woods-Steeles","43.7857668","-79.392693","43.8068247","-79.369727","47246","43.79629575","-79.38121"
"11","10","Bedford Park-Nortown","43.7095233","-79.4321756","43.7463755","-79.4059423","123077","43.7279494","-79.41905895"
"12","11","Beechborough-Greenbrook","43.6912199","-79.4809018","43.6964092","-79.4671579","33829","43.69381455","-79.47402985"
"13","12","Bendale","43.7438123","-79.2704194","43.774003","-79.24104","33256","43.75890765","-79.2557297"
"14","13","Birchcliffe-Cliffside","43.674316","-79.2860522","43.7179359","-79.2463264","54360","43.69612595","-79.2661893"
"15","14","Black Creek","43.7585383","-79.5299983","43.77244","-79.5088297","25989","43.76548915","-79.519414"
"16","15","Blake-Jones","43.6714416","-79.3437944","43.6796429","-79.3327614","48511","43.67554225","-79.3382779"
"17","16","Briar Hill-Belgravia","43.694006","-79.4626453","43.704839","-79.4399294","34768","43.6994225","-79.45128735"
"18","17","Bridle Path-Sunnybrook-York Mills","43.7126513","-79.4040971","43.7469732","-79.3755672","308010","43.72981225","-79.38983215"
"19","18","Broadview North","43.6822924","-79.3580401","43.6945728","-79.3491739","44557","43.6884326","-79.353607"
"20","19","Brookhaven-Amesbury","43.6956881","-79.5040224","43.708035","-79.4780475","32483","43.70186155","-79.49103495"
"21","20","Cabbagetown-South St. James Town","43.6628581","-79.3769009","43.6731618","-79.3605784","63012","43.667393","-79.364001"
"22","21","Caledonia-Fairbank","43.6820803","-79.4628046","43.6932827","-79.447688","35112","43.6876815","-79.4552463"
"23","22","Casa Loma","43.6758284","-79.417815","43.6888845","-79.3997447","165047","43.68235645","-79.40877985"
"24","23","Centennial Scarborough","43.771733","-79.1692474","43.7950908","-79.1362877","54045","43.7834119","-79.15276755"
"25","24","Church-Yonge Corridor","43.6483688","-79.3865","43.6705872","-79.3727345","53583","43.660021","-79.378631"
"26","25","Clairlea-Birchmount","43.7004716","-79.2982926","43.7195634","-79.2618312","36232","43.7100175","-79.2800619"
"27","26","Clanton Park","43.7329109","-79.4583907","43.7542374","-79.434786","51181","43.74357415","-79.44658835"
"28","27","Cliffcrest","43.7056804","-79.2482646","43.7381204","-79.2245519","44718","43.7219004","-79.23640825"
"29","28","Corso Italia-Davenport","43.6731481","-79.4571585","43.6845097","-79.4343327","41717","43.6788289","-79.4457456"
"30","29","Danforth","43.6799332","-79.3450993","43.6888019","-79.3146885","55225","43.681518","-79.332331"
"31","30","Danforth East York","43.685346","-79.314254","43.6951806","-79.3155967","51846","43.685346","-79.314254"
"32","31","Don Valley Village","43.7728278","-79.3670228","43.7938717","-79.3428697","37379","43.78334975","-79.35494625"
"33","32","Dorset Park","43.7409954","-79.2898455","43.7713344","-79.2658163","31692","43.7561649","-79.2778309"
"34","33","Dovercourt-Wallace Emerson-Junction","43.6575152","-79.4578076","43.6734277","-79.4211936","39740","43.66547145","-79.4395006"
"35","34","Downsview-Roding-CFB","43.7204994","-79.5240313","43.7421322","-79.4597972","34168","43.7313158","-79.49191425"
"36","35","Dufferin Grove","43.650481","-79.447699","43.6584869","-79.428911","40588","43.655701","-79.428127"
"37","36","East End-Danforth","43.6761279","-79.3120196","43.6921582","-79.2846035","54324","43.68414305","-79.29831155"
"38","37","Edenbridge-Humber Valley","43.6541457","-79.5347822","43.683989","-79.5106554","101551","43.66906735","-79.5227188"
"39","38","Eglinton East","43.734101","-79.2652445","43.7518943","-79.2336607","30033","43.74299765","-79.2494526"
"40","39","Elms-Old Rexdale","43.7122325","-79.5588228","43.7301736","-79.5429684","32012","43.72120305","-79.5508956"
"41","40","Englemount-Lawrence","43.7083816","-79.4421714","43.7349205","-79.4285871","48134","43.72165105","-79.43537925"
"42","41","Eringate-Centennial-West Deane","43.6399965","-79.5887657","43.672718","-79.5596196","47002","43.65635725","-79.57419265"
"43","42","Etobicoke West Mall","43.6389549","-79.5789575","43.6526695","-79.5626411","38255","43.6458122","-79.5707993"
"44","43","Flemingdon Park","43.7098214","-79.3376664","43.72362","-79.3228344","28654","43.7167207","-79.3302504"
"45","44","Forest Hill North","43.7000809","-79.4400345","43.7096614","-79.4183603","85099","43.70487115","-79.4291974"
"46","45","Forest Hill South","43.6859146","-79.4243884","43.7038293","-79.4062456","204521","43.69487195","-79.415317"
"47","46","Glenfield-Jane Heights","43.7345934","-79.5245885","43.7569022","-79.4998929","27984","43.7457478","-79.5122407"
"48","47","Greenwood-Coxwell","43.6624271","-79.3311877","43.6826383","-79.317623","46206","43.6725327","-79.32440535"
"49","48","Guildwood","43.7372157","-79.2086549","43.7573619","-79.1776692","53203","43.7472888","-79.19316205"
"50","49","Henry Farm","43.7684657","-79.3536401","43.7754238","-79.3292428","36359","43.77194475","-79.34144145"
"51","50","High Park-Swansea","43.6360574","-79.489986","43.6554702","-79.4478089","71204","43.6457638","-79.46889745"
"52","51","High Park North","43.6527963","-79.4792726","43.6618058","-79.4542649","57465","43.65730105","-79.46676875"
"53","52","Highland Creek","43.7833668","-79.1897914","43.7973965","-79.1581939","40972","43.79038165","-79.17399265"
"54","53","Hillcrest Village","43.7921749","-79.3702848","43.8116065","-79.3465695","40442","43.8018907","-79.35842715"
"55","54","Humber Heights-Westmount","43.6830048","-79.5314577","43.7002538","-79.5141914","45615","43.6916293","-79.52282455"
"56","55","Humber Summit","43.7484132","-79.5800757","43.7644024","-79.5603709","30731","43.7564078","-79.5702233"
"57","56","Humbermede","43.7346239","-79.5648826","43.7492339","-79.5364802","29528","43.7419289","-79.5506814"
"58","57","Humewood-Cedarvale","43.6840441","-79.4357142","43.7002209","-79.4197124","65274","43.6921325","-79.4277133"
"59","58","Ionview","43.7265236","-79.2783903","43.7414608","-79.2662067","31383","43.7339922","-79.2722985"
"60","59","Islington-City Centre West","43.609168","-79.5624732","43.6591276","-79.5162749","52787","43.6341478","-79.53937405"
"61","60","Junction Area","43.6613909","-79.4820018","43.6779913","-79.4587457","49709","43.6696911","-79.47037375"
"62","61","Keelesdale-Eglinton West","43.6806415","-79.4784379","43.6903446","-79.4621594","33316","43.68549305","-79.47029865"
"63","62","Kennedy Park","43.7169396","-79.2736783","43.7331528","-79.247708","30974","43.7250462","-79.26069315"
"64","63","Kensington-Chinatown","43.6494284","-79.403915","43.6574191","-79.3885701","37422","43.65342375","-79.39624255"
"65","64","Kingsview Village-The Westway","43.6879402","-79.5651114","43.7031173","-79.5353384","36674","43.69552875","-79.5502249"
"66","65","Kingsway South","43.6487248","-79.5235786","43.6613649","-79.4938522","144642","43.65504485","-79.5087154"
"67","66","L'Amoreaux","43.7763356","-79.3338675","43.8069253","-79.2928771","31826","43.79163045","-79.3133723"
"68","67","Lambton Baby Point","43.6496078","-79.503012","43.6637458","-79.4865245","76629","43.6566768","-79.49476825"
"69","68","Lansing-Westgate","43.7386497","-79.4334012","43.7655809","-79.4107086","72371","43.7521153","-79.4220549"
"70","69","Lawrence Park North","43.7237373","-79.4160931","43.735345","-79.3927308","111730","43.72954115","-79.40441195"
"71","70","Lawrence Park South","43.703802","-79.4214495","43.7254686","-79.3889013","169203","43.7146353","-79.4051754"
"72","71","Leaside-Bennington","43.6906298","-79.3787391","43.7191594","-79.3562315","125564","43.7048946","-79.3674853"
"73","72","Little Portugal","43.6415328","-79.4381113","43.6525544","-79.42198","45737","43.6470436","-79.43004565"
"74","73","Long Branch","43.5881763","-79.5467702","43.5994878","-79.5213196","47384","43.59383205","-79.5340449"
"75","74","Malvern","43.7912675","-79.2391816","43.8182709","-79.2024593","29573","43.8047692","-79.22082045"
"76","75","Maple Leaf","43.7095943","-79.4900958","43.7229314","-79.4721243","37108","43.71626285","-79.48111005"
"77","76","Markland Wood","43.6273501","-79.5840382","43.6417745","-79.5596196","62378","43.6345623","-79.5718289"
"78","77","Milliken","43.8157923","-79.2949276","43.8286316","-79.2634498","28085","43.82221195","-79.2791887"
"79","78","Mimico (includes Humber Bay Shores)","43.6034967","-79.5095353","43.631471","-79.4726501","54438","43.61748385","-79.4910927"
"80","79","Morningside","43.7707878","-79.2199799","43.7946475","-79.1950145","32291","43.78271765","-79.2074972"
"81","80","Moss Park","43.6501415","-79.3741052","43.6640293","-79.3540372","58915","43.655318","-79.369646"
"82","81","Mount Dennis","43.6850757","-79.5085689","43.6939087","-79.4871521","30827","43.6894922","-79.4978605"
"83","82","Mount Olive-Silverstone-Jamestown","43.7321642","-79.599229","43.7592624","-79.5799221","26548","43.7457133","-79.58957555"
"84","83","Mount Pleasant East","43.6987194","-79.399434","43.7172007","-79.375187","85340","43.706706","-79.381864"
"85","84","Mount Pleasant West","43.6960167","-79.3982697","43.7119199","-79.3871417","57039","43.704475","-79.393101"
"86","85","New Toronto","43.5949745","-79.5259266","43.6064548","-79.4981788","44101","43.60071465","-79.5120527"
"87","86","Newtonbrook East","43.7804581","-79.4183207","43.8007309","-79.3960252","45212","43.7905945","-79.40717295"
"88","87","Newtonbrook West","43.775449","-79.4439355","43.7958866","-79.4173942","34904","43.7856678","-79.43066485"
"89","88","Niagara","43.6333903","-79.4218543","43.6455813","-79.3989259","70623","43.6394858","-79.4103901"
"90","89","North Riverdale","43.6660013","-79.3550929","43.6776048","-79.3420869","73253","43.67180305","-79.3485899"
"91","90","North St. James Town","43.66703","-79.3780636","43.6718663","-79.3714183","32648","43.667395","-79.373752"
