"","district","lat","long","income"
"1","Agincourt North",43.8076151584906,-79.2717798009434,30414
"2","Agincourt South-Malvern West",43.784199802439,-79.2753211768293,31825
"3","Alderwood",43.6050709566667,-79.54383968,47709
"4","Annex",43.6719237427835,-79.3972930860825,112766
"5","Banbury-Don Mills",43.7344024435294,-79.3418748211765,67757
"6","Bathurst Manor",43.7563867966102,-79.4544473305085,45936
"7","Bay Street Corridor",43.6605609786232,-79.3853890492754,56526
"8","Bayview Village",43.7702564152778,-79.3764990337963,52035
"9","Bayview Woods-Steeles",43.7958237690476,-79.3820776809524,47246
"10","Bedford Park-Nortown",43.732477645045,-79.4201278855856,123077
"11","Beechborough-Greenbrook",43.6943178294118,-79.4715986411765,33829
"12","Bendale",43.7663636873494,-79.2568116722891,33256
"13","Birchcliffe-Cliffside",43.6944008596491,-79.2673453473684,54360
"14","Black Creek",43.7650380961538,-79.5179205884615,25989
"15","Blake-Jones",43.6760674382353,-79.3382863882353,48511
"16","Briar Hill-Belgravia",43.7001434618421,-79.4474498776316,34768
"17","Bridle Path-Sunnybrook-York Mills",43.7289870571429,-79.3866821285714,308010
"18","Broadview North",43.6873271290323,-79.3536396,44557
"19","Brookhaven-Amesbury",43.700766155102,-79.489613722449,32483
"20","Cabbagetown-South St. James Town",43.6653080630769,-79.3711667261538,63012
"21","Caledonia-Fairbank",43.687149497561,-79.4549586243902,35112
"22","Casa Loma",43.6810103823529,-79.4079560117647,165047
"23","Centennial Scarborough",43.7819156955882,-79.1488995602941,54045
"24","Church-Yonge Corridor",43.6621378948052,-79.3799907418182,53583
"25","Clairlea-Birchmount",43.7109451484848,-79.2804249545455,36232
"26","Clanton Park",43.7414892730769,-79.4454187576923,51181
"27","Cliffcrest",43.7229968536232,-79.2363405304348,44718
"28","Corso Italia-Davenport",43.6785892127273,-79.4476136818182,41717
"29","Danforth",43.6841639961538,-79.3309265019231,55225
"30","Danforth East York",43.6890240776596,-79.3310404680851,51846
"31","Don Valley Village",43.7848998640777,-79.3550312669903,37379
"32","Dorset Park",43.7590726102804,-79.2788391981308,31692
"33","Dovercourt-Wallace Emerson-Junction",43.6661743051546,-79.4433816319588,39740
"34","Downsview-Roding-CFB",43.7297419509434,-79.4892466805031,34168
"35","Dufferin Grove",43.6552469866667,-79.4405481422222,40588
"36","East End-Danforth",43.6832363384,-79.2988387272,54324
"37","Edenbridge-Humber Valley",43.6732622957143,-79.51818671,101551
"38","Eglinton East",43.7396258244898,-79.2458088693877,30033
"39","Elms-Old Rexdale",43.71996005,-79.5479183125,32012
"40","Englemount-Lawrence",43.7203308796875,-79.436686528125,48134
"41","Eringate-Centennial-West Deane",43.657247017757,-79.575241317757,47002
"42","Etobicoke West Mall",43.6470789944444,-79.5675373055556,38255
"43","Flemingdon Park",43.7152500575758,-79.327746130303,28654
"44","Forest Hill North",43.7042085166667,-79.42799675,85099
"45","Forest Hill South",43.6930718326531,-79.4153096612245,204521
"46","Glenfield-Jane Heights",43.7456714674419,-79.5134873709302,27984
"47","Greenwood-Coxwell",43.6730991197802,-79.3243163802198,46206
"48","Guildwood",43.7497388880597,-79.1968854850746,53203
"49","Henry Farm",43.7736782194245,-79.3409023942446,36359
"50","High Park-Swansea",43.6416336983425,-79.4704848088398,71204
"51","High Park North",43.6567117213333,-79.4670748333333,57465
"52","Highland Creek",43.791741828125,-79.174348284375,40972
"53","Hillcrest Village",43.8017483154762,-79.3574104440476,40442
"54","Humber Heights-Westmount",43.688212278,-79.52093818,45615
"55","Humber Summit",43.7561039902439,-79.5682259121951,30731
"56","Humbermede",43.7454031278689,-79.5521428704918,29528
"57","Humewood-Cedarvale",43.6920292909091,-79.4277182681818,65274
